epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,243.394,0.76777,0.66161,1.11748,0.82849,0.48209,0.60052,0.3006,1.85753,2.07486,1.53677,1.60323e-05,1.60323e-05,1.60323e-05
87,248.988,0.76442,0.80322,1.06821,0.82849,0.48209,0.60052,0.3006,1.85753,2.07486,1.53677,1.52077e-05,1.52077e-05,1.52077e-05
88,253.537,0.82809,0.8675,1.4097,0.83877,0.47796,0.525,0.27759,1.86437,2.08865,1.52196,1.43596e-05,1.43596e-05,1.43596e-05
89,257.525,0.97015,0.96427,1.46095,0.83877,0.47796,0.525,0.27759,1.86437,2.08865,1.52196,1.34879e-05,1.34879e-05,1.34879e-05
90,261.733,0.64211,0.62512,0.999,0.83877,0.47796,0.525,0.27759,1.86437,2.08865,1.52196,1.25927e-05,1.25927e-05,1.25927e-05
91,265.555,0.47072,0.51776,0.89474,0.83877,0.47796,0.525,0.27759,1.86437,2.08865,1.52196,1.16739e-05,1.16739e-05,1.16739e-05
92,270.223,0.69929,0.67925,0.97914,0.81545,0.48631,0.53887,0.28199,1.85628,2.01766,1.50268,1.07315e-05,1.07315e-05,1.07315e-05
93,271.598,0.48366,0.46405,0.99532,0.81545,0.48631,0.53887,0.28199,1.85628,2.01766,1.50268,9.76562e-06,9.76562e-06,9.76562e-06
94,272.874,0.55107,0.47441,0.88744,0.81545,0.48631,0.53887,0.28199,1.85628,2.01766,1.50268,8.77613e-06,8.77613e-06,8.77613e-06
95,274.027,0.43792,0.45989,0.90517,0.81545,0.48631,0.53887,0.28199,1.85628,2.01766,1.50268,7.76308e-06,7.76308e-06,7.76308e-06
96,275.197,0.46202,0.51135,0.97419,0.8356,0.46667,0.54325,0.31117,1.86812,2.01472,1.49822,6.72648e-06,6.72648e-06,6.72648e-06
97,276.322,0.70652,0.63602,1.06867,0.8356,0.46667,0.54325,0.31117,1.86812,2.01472,1.49822,5.6663e-06,5.6663e-06,5.6663e-06
98,277.467,0.52295,0.48742,0.91349,0.8356,0.46667,0.54325,0.31117,1.86812,2.01472,1.49822,4.58257e-06,4.58257e-06,4.58257e-06
99,278.604,0.48168,0.46913,0.91094,0.8356,0.46667,0.54325,0.31117,1.86812,2.01472,1.49822,3.47528e-06,3.47528e-06,3.47528e-06
100,279.799,0.55974,0.51637,1.02377,0.83177,0.46667,0.57753,0.35509,1.80178,1.84674,1.47123,2.34442e-06,2.34442e-06,2.34442e-06
